Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
24.99	4.998	0.00	823.15	329.26	20.10	-0.06526	0.00947	5.115	-0.14	25.00	5.000	0.00
25.00	5.000	5.00	815.42	326.17	19.23	-0.26370	0.01057	5.115	4.72	25.00	5.000	5.00
25.00	5.000	10.00	825.43	330.17	19.88	-0.22978	0.01211	5.115	9.60	25.00	5.000	10.00
25.00	5.000	15.00	823.71	329.49	19.62	-0.21039	0.01310	5.112	14.47	25.00	5.000	15.00
25.00	5.000	20.00	824.78	329.91	19.47	-0.43001	0.01483	5.107	19.32	25.00	5.000	20.00
25.00	5.000	25.00	825.59	330.23	19.14	-0.55637	0.01596	5.102	24.19	25.00	5.000	25.00
25.00	5.000	30.00	829.36	331.74	18.83	-0.73891	0.01677	5.094	29.06	25.00	5.000	30.00
25.01	5.000	35.00	833.19	333.28	18.28	-0.77656	0.01634	5.086	33.94	25.00	5.000	35.00
25.00	5.000	40.00	839.03	335.61	17.53	-0.74906	0.01548	5.077	38.83	25.00	5.000	40.00
25.00	5.000	45.00	849.18	339.67	17.03	-0.76492	0.01416	5.066	43.72	25.00	5.000	45.00
25.00	5.000	50.00	869.61	347.85	16.56	-0.65914	0.01211	5.054	48.64	25.00	5.000	50.00
25.00	5.000	55.00	890.92	356.37	15.81	-0.57264	0.00985	5.041	53.56	25.00	5.000	55.00
25.00	5.000	60.00	915.94	366.38	15.09	-0.33138	0.00742	5.030	58.53	25.00	5.000	60.00
25.00	5.000	65.00	954.68	381.87	14.63	-0.21449	0.00552	5.019	63.53	25.00	5.000	65.00
25.00	5.000	70.00	1007.68	403.07	13.97	-0.17606	0.00388	5.009	68.53	25.00	5.000	70.00
25.00	5.000	75.00	1089.60	435.84	13.39	-0.11934	0.00243	5.001	73.56	25.00	5.000	75.00
25.00	5.000	78.00	1162.90	465.16	13.07	-0.04581	0.00160	4.996	76.58	25.00	5.000	78.00
25.00	5.000	81.00	1275.80	510.32	13.04	-0.03356	0.00090	4.992	79.61	25.00	5.000	81.00
25.00	5.000	84.00	1469.18	587.67	13.71	-0.00255	0.00036	4.988	82.64	25.00	5.000	84.00
24.99	5.000	86.00	1679.51	671.80	14.62	0.05031	-0.00019	4.985	84.68	25.00	5.000	86.00
25.00	5.000	88.00	1988.22	795.29	17.05	0.19575	-0.00096	4.982	86.70	25.00	5.000	88.00
25.00	5.000	90.00	2253.77	901.51	21.87	0.26371	-0.00173	4.976	88.68	25.00	5.000	90.00	Current limit exceeded.
25.00	5.000	92.00	2188.50	875.40	22.19	0.38989	-0.00213	4.968	90.80	25.00	5.000	92.00
25.01	5.000	94.00	1899.09	759.64	19.03	0.31148	-0.00236	4.958	93.01	25.00	5.000	94.00
25.01	5.000	96.00	1627.79	651.11	16.28	0.46764	-0.00321	4.955	95.13	25.00	5.000	96.00
25.00	5.000	99.00	1392.34	556.94	15.33	0.26688	-0.00270	4.971	98.17	25.00	5.000	99.00
25.00	5.000	102.00	1236.18	494.47	14.48	0.25586	-0.00343	4.976	101.20	25.00	5.000	102.00
25.00	5.000	105.00	1143.52	457.41	14.61	0.20288	-0.00366	4.975	104.20	25.00	5.000	105.00
25.01	5.000	110.00	1048.86	419.54	15.33	0.25044	-0.00389	4.969	109.13	25.00	5.000	110.00
25.00	5.000	115.00	993.53	397.41	16.52	0.12939	-0.00351	4.958	114.05	25.00	5.000	115.00
25.00	5.000	120.00	949.81	379.92	17.00	0.07986	-0.00308	4.946	118.96	25.00	5.000	120.00
25.01	5.000	125.00	917.89	367.16	17.50	0.08603	-0.00272	4.932	123.95	25.00	5.000	125.00
25.01	5.000	130.00	898.35	359.34	18.57	-0.03616	-0.00162	4.919	128.93	25.00	5.000	130.00
25.01	5.000	135.00	878.42	351.37	18.78	-0.08202	-0.00060	4.905	133.96	25.00	5.000	135.00
