Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
35.01	0.021	0.00	2209.94	883.97	23.84	-0.15710	0.00049	0.021	-4.62	35.00	0.020	0.00	
35.00	0.020	5.00	2204.09	881.64	22.99	-0.01902	-0.00001	0.021	-0.54	35.00	0.020	5.00	
35.00	0.020	10.00	2202.83	881.13	22.89	-0.02514	0.00006	0.021	4.55	35.00	0.020	10.00	
34.99	0.020	15.00	2198.48	879.39	22.36	-0.00390	0.00000	0.021	9.43	35.00	0.020	15.00	
35.00	0.020	20.00	2199.63	879.85	22.58	-0.04683	0.00003	0.021	14.66	35.00	0.020	20.00	
34.99	0.020	25.00	2197.87	879.15	22.99	-0.04380	0.00007	0.021	19.39	35.00	0.020	25.00	
34.99	0.020	30.00	2198.30	879.32	22.83	0.00814	0.00000	0.021	24.23	35.00	0.020	30.00	
34.99	0.020	35.00	2200.09	880.04	23.10	-0.07380	0.00007	0.020	28.83	35.00	0.020	35.00	
35.00	0.020	40.00	2199.68	879.87	22.79	-0.05822	0.00002	0.020	33.70	35.00	0.020	40.00	
35.00	0.020	45.00	2196.77	878.71	22.72	-0.00748	-0.00003	0.020	38.80	35.00	0.020	45.00	
35.00	0.020	50.00	2198.24	879.30	22.95	-0.06481	-0.00007	0.019	43.83	35.00	0.020	50.00	
35.00	0.020	55.00	2201.42	880.57	22.79	-0.04853	-0.00006	0.019	49.48	35.00	0.020	55.00	
35.00	0.020	60.00	2203.69	881.48	22.68	-0.02485	-0.00012	0.018	54.81	35.00	0.020	60.00	
35.00	0.020	65.00	2204.43	881.77	22.79	-0.02326	-0.00012	0.018	61.07	35.00	0.020	65.00	
35.00	0.020	70.00	2206.12	882.45	23.12	-0.03366	-0.00016	0.018	67.04	35.00	0.020	70.00	
35.00	0.020	75.00	2204.16	881.66	22.95	-0.01585	-0.00022	0.018	72.86	35.00	0.020	75.00	
35.00	0.020	78.00	2205.25	882.10	23.17	-0.00179	-0.00021	0.018	76.96	35.00	0.020	78.00	
35.00	0.020	81.00	2211.58	884.63	23.96	0.01350	-0.00025	0.018	80.68	35.00	0.020	81.00	
35.00	0.020	84.00	2204.88	881.95	22.94	0.00691	-0.00031	0.018	84.55	35.00	0.020	84.00	
35.00	0.020	86.00	2205.21	882.08	22.70	0.00301	-0.00027	0.018	86.76	35.00	0.020	86.00	
35.00	0.020	88.00	2202.10	880.84	22.66	-0.06087	-0.00027	0.019	89.44	35.00	0.020	88.00	
35.00	0.020	90.00	2203.52	881.41	22.92	0.01245	-0.00030	0.018	91.44	35.00	0.020	90.00	
34.99	0.020	92.00	2204.86	881.95	22.57	0.01031	-0.00032	0.018	94.83	35.00	0.020	92.00	
35.00	0.020	94.00	2204.65	881.86	22.84	0.00929	-0.00032	0.018	96.87	35.00	0.020	94.00	
35.00	0.020	96.00	2198.71	879.48	22.40	-0.03601	-0.00037	0.018	98.79	35.00	0.020	96.00	
35.00	0.020	99.00	2204.05	881.62	22.94	-0.00543	-0.00034	0.019	102.43	35.00	0.020	99.00	
35.00	0.020	102.00	2204.07	881.63	23.21	0.04123	-0.00034	0.019	105.62	35.00	0.020	102.00	
35.00	0.020	105.00	2206.44	882.57	23.19	-0.05874	-0.00030	0.018	109.84	35.00	0.020	105.00	
35.00	0.020	110.00	2208.76	883.51	23.58	-0.01066	-0.00030	0.019	113.99	35.00	0.020	110.00	
