Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
55.01	5.000	0.00	211.52	84.61	11.89	-0.09401	0.00488	5.118	-0.15	55.00	5.000	0.00	
55.00	5.000	5.00	215.29	86.12	13.40	-0.11853	0.00849	5.118	4.85	55.00	5.000	5.00	
54.99	5.000	10.00	214.05	85.62	12.95	-0.03895	0.00823	5.117	9.73	55.00	5.000	10.00	
54.99	5.000	15.00	213.61	85.44	13.24	-0.02923	0.00998	5.114	14.63	55.00	5.000	15.00	
55.00	5.000	20.00	213.56	85.42	13.37	-0.05704	0.01106	5.110	19.53	55.00	5.000	20.00	
55.00	5.000	25.00	214.45	85.78	13.80	-0.06209	0.01297	5.104	24.43	55.00	5.000	25.00	
55.00	5.000	30.00	215.28	86.11	13.86	0.04536	0.01324	5.097	29.33	55.00	5.000	30.00	
54.99	5.000	35.00	216.71	86.68	13.96	0.00910	0.01432	5.089	34.24	55.00	5.000	35.00	
55.00	5.000	40.00	218.14	87.26	14.04	-0.07152	0.01391	5.081	39.15	55.00	5.000	40.00	
55.01	5.000	45.00	219.70	87.88	14.05	-0.11727	0.01314	5.070	44.08	55.00	5.000	45.00	
55.01	5.000	50.00	221.87	88.75	14.56	-0.11327	0.01299	5.059	49.02	55.00	5.000	50.00	
55.00	5.000	55.00	222.27	88.91	14.47	-0.07228	0.01104	5.047	53.99	55.00	5.000	55.00	
55.01	5.000	60.00	221.53	88.61	14.02	-0.06144	0.00936	5.037	58.99	55.00	5.000	60.00	
55.01	5.000	65.00	220.84	88.34	14.44	-0.03244	0.00756	5.026	64.03	55.00	5.000	65.00	
55.02	5.000	70.00	217.17	86.87	14.16	-0.01397	0.00471	5.018	69.08	55.00	5.000	70.00	
55.00	5.000	75.00	210.53	84.21	14.00	0.01490	0.00219	5.010	74.14	55.00	5.000	75.00	
55.00	5.000	78.00	203.79	81.51	13.69	0.03528	0.00008	5.006	77.19	55.00	5.000	78.00	
55.00	5.000	81.00	195.19	78.08	13.31	0.08363	-0.00065	5.003	80.24	55.00	5.000	81.00	
55.00	5.000	84.00	185.68	74.27	12.25	0.09863	-0.00146	5.001	83.31	55.00	5.000	84.00	
55.00	5.000	86.00	182.62	73.05	10.76	0.15085	-0.00253	4.999	85.35	55.00	5.000	86.00	
55.00	5.000	88.00	195.35	78.14	8.61	0.14597	-0.00335	4.998	87.41	55.00	5.000	88.00	
55.00	5.000	90.00	238.83	95.53	7.18	0.13368	-0.00345	4.997	89.47	55.00	5.000	90.00	
54.99	5.000	92.00	210.21	84.09	7.87	0.15576	-0.00469	4.997	91.54	55.00	5.000	92.00	
55.00	5.000	94.00	184.06	73.62	9.82	0.15212	-0.00523	4.996	93.61	55.00	5.000	94.00	
55.00	5.000	96.00	184.10	73.64	11.78	0.11901	-0.00430	4.995	95.67	55.00	5.000	96.00	
55.00	5.000	99.00	194.38	77.75	13.54	0.12134	-0.00419	4.995	98.71	55.00	5.000	99.00	
55.00	5.000	102.00	204.31	81.72	14.18	0.09455	-0.00406	4.994	101.71	55.00	5.000	102.00	
55.00	5.000	105.00	212.10	84.84	14.63	0.11755	-0.00456	4.991	104.67	55.00	5.000	105.00	
55.00	5.000	110.00	219.44	87.78	14.63	0.08945	-0.00513	4.982	109.56	55.00	5.000	110.00	
55.00	5.000	115.00	223.83	89.53	14.80	0.04194	-0.00407	4.970	114.45	55.00	5.000	115.00	
55.00	5.000	120.00	226.02	90.41	15.01	0.03704	-0.00286	4.956	119.35	55.00	5.000	120.00	
55.00	5.000	125.00	226.52	90.61	15.01	0.03674	-0.00267	4.941	124.27	55.00	5.000	125.00	
55.00	5.000	130.00	225.61	90.24	14.76	0.03237	-0.00202	4.926	129.21	55.00	5.000	130.00	
55.00	5.000	135.00	224.13	89.65	14.50	-0.01137	-0.00089	4.912	134.20	55.00	5.000	135.00	
54.99	5.000	140.00	222.30	88.92	14.15	0.01746	-0.00007	4.898	139.21	55.00	5.000	140.00	
55.00	5.000	145.00	220.94	88.38	14.22	0.02122	0.00115	4.884	144.23	55.00	5.000	145.00	
55.00	5.000	150.00	219.58	87.83	13.92	-0.03693	0.00237	4.874	149.25	55.00	5.000	150.00	
55.00	5.000	155.00	218.51	87.41	13.79	0.02882	0.00231	4.864	154.20	55.00	5.000	155.00	
55.00	5.000	160.00	218.32	87.33	13.74	0.01305	0.00351	4.857	159.15	55.00	5.000	160.00	
55.00	5.000	165.00	218.83	87.53	13.87	0.02264	0.00456	4.850	164.12	55.00	5.000	165.00	
55.00	5.000	170.00	217.70	87.08	13.51	0.04751	0.00458	4.844	169.16	55.00	5.000	170.00	
55.00	5.000	175.00	216.13	86.45	12.94	0.07346	0.00441	4.838	174.31	55.00	5.000	175.00	
54.99	5.000	180.00	215.78	86.31	12.97	0.05142	0.00551	4.833	179.54	55.00	5.000	180.00	
55.00	5.000	185.00	216.09	86.43	13.27	0.11405	0.00662	4.833	184.73	55.00	5.000	185.00	
55.00	5.000	190.00	216.03	86.41	13.66	0.05767	0.00950	4.835	189.90	55.00	5.000	190.00	
55.00	5.000	195.00	214.48	85.79	13.29	0.02856	0.01080	4.840	195.06	55.00	5.000	195.00	
55.00	5.000	200.00	215.30	86.12	14.18	0.13453	0.01166	4.845	200.19	55.00	5.000	200.00	
55.00	5.000	205.00	214.68	85.87	14.01	0.03036	0.01348	4.853	205.31	55.00	5.000	205.00	
55.01	5.000	210.00	216.66	86.66	14.97	0.05006	0.01498	4.863	210.42	55.00	5.000	210.00	
55.00	5.000	215.00	215.97	86.39	14.19	0.06298	0.01417	4.876	215.49	55.00	5.000	215.00	
55.00	5.000	220.00	218.60	87.44	14.60	0.01275	0.01402	4.889	220.47	55.00	5.000	220.00	
55.00	5.000	225.00	220.76	88.30	15.40	0.00365	0.01419	4.903	225.42	55.00	5.000	225.00	
55.00	5.000	230.00	221.56	88.62	15.10	0.03260	0.01377	4.917	230.38	55.00	5.000	230.00	
55.00	5.000	235.00	221.83	88.73	14.75	0.04661	0.01280	4.932	235.32	55.00	5.000	235.00	
55.00	5.000	240.00	222.14	88.86	15.05	-0.02966	0.01182	4.945	240.23	55.00	5.000	240.00	
