Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
64.98	0.200	0.00	553.54	221.41	21.69	-0.02691	0.00071	0.210	-0.02	65.00	0.200	0.00
65.00	0.199	5.00	549.34	219.74	20.62	0.01103	0.00011	0.211	4.94	65.00	0.200	5.00
65.00	0.200	10.00	553.04	221.22	20.61	0.04960	-0.00001	0.211	9.93	65.00	0.200	10.00
65.00	0.200	15.00	554.46	221.78	20.83	0.01032	0.00009	0.210	14.88	65.00	0.200	15.00
65.01	0.200	20.00	555.44	222.18	20.98	0.04129	0.00029	0.211	19.89	65.00	0.200	20.00
65.00	0.200	25.00	555.09	222.04	20.49	-0.00319	0.00071	0.210	24.72	65.00	0.200	25.00
65.00	0.200	30.00	555.36	222.14	20.40	-0.01277	0.00052	0.209	29.55	65.00	0.200	30.00
65.00	0.200	35.00	555.22	222.09	20.33	-0.02316	0.00065	0.208	34.35	65.00	0.200	35.00
65.00	0.200	40.00	555.29	222.12	20.20	-0.02514	0.00075	0.207	39.11	65.00	0.200	40.00
64.99	0.200	45.00	555.33	222.13	20.14	0.00590	0.00048	0.206	43.88	65.00	0.200	45.00
64.98	0.200	50.00	556.13	222.45	20.01	-0.02454	0.00058	0.204	48.69	65.00	0.200	50.00
64.99	0.200	55.00	557.57	223.03	20.10	-0.02195	0.00079	0.203	53.57	65.00	0.200	55.00
65.00	0.200	60.00	558.83	223.53	20.15	-0.01206	0.00078	0.201	58.53	65.00	0.200	60.00
65.01	0.200	65.00	559.42	223.77	19.91	-0.00692	0.00062	0.200	63.54	65.00	0.200	65.00
65.00	0.200	70.00	559.99	224.00	19.83	-0.04461	0.00056	0.199	68.66	65.00	0.200	70.00
65.00	0.200	75.00	560.02	224.01	19.73	0.01549	0.00038	0.199	73.83	65.00	0.200	75.00
64.99	0.200	78.00	560.73	224.29	19.78	0.02840	0.00027	0.199	76.99	65.00	0.200	78.00
65.00	0.200	81.00	561.90	224.76	19.82	0.00662	0.00028	0.199	80.14	65.00	0.200	81.00
65.00	0.200	84.00	562.80	225.12	19.90	0.03459	0.00022	0.200	83.21	65.00	0.200	84.00
64.99	0.200	86.00	563.78	225.51	20.00	-0.03077	0.00032	0.199	85.35	65.00	0.200	86.00
65.00	0.200	88.00	562.64	225.05	19.23	-0.00992	0.00001	0.200	87.41	65.00	0.200	88.00
64.99	0.200	90.00	555.56	222.23	20.56	0.03799	0.00006	0.200	89.49	65.00	0.200	90.00
