Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	0.100	0.00	243.81	97.52	19.44	0.04931	0.00055	0.104	0.01	77.50	0.100	0.00	
77.51	0.100	5.00	243.67	97.47	18.76	0.04886	-0.00037	0.104	5.03	77.50	0.100	5.00	
77.51	0.100	10.00	244.88	97.95	19.05	0.01323	0.00036	0.105	10.18	77.50	0.100	10.00	
77.51	0.100	15.00	245.44	98.18	18.76	0.02132	0.00022	0.104	15.13	77.50	0.100	15.00	
77.50	0.099	20.00	247.51	99.00	19.50	-0.05048	0.00106	0.104	20.15	77.50	0.100	20.00	
77.50	0.100	25.00	248.50	99.40	18.81	0.03622	0.00021	0.104	25.07	77.50	0.100	25.00	
77.51	0.101	30.00	250.78	100.31	19.28	0.00790	0.00089	0.104	29.89	77.50	0.100	30.00	
77.49	0.100	35.00	252.42	100.97	19.24	0.04118	0.00043	0.103	34.73	77.50	0.100	35.00	
77.50	0.100	40.00	253.78	101.51	18.90	0.03930	0.00049	0.103	39.52	77.50	0.100	40.00	
77.50	0.100	45.00	256.66	102.66	19.05	0.01474	0.00063	0.102	44.38	77.50	0.100	45.00	
77.50	0.100	50.00	259.29	103.72	19.09	0.06343	0.00026	0.102	49.17	77.50	0.100	50.00	
77.50	0.100	55.00	263.69	105.48	19.62	0.01268	0.00071	0.102	54.04	77.50	0.100	55.00	
77.50	0.100	60.00	267.39	106.96	19.58	0.02156	0.00053	0.101	58.89	77.50	0.100	60.00	
77.50	0.100	65.00	272.92	109.17	19.72	-0.01873	0.00072	0.100	63.87	77.50	0.100	65.00	
77.49	0.100	70.00	280.21	112.08	20.35	-0.00516	0.00051	0.100	68.96	77.50	0.100	70.00	
77.50	0.100	75.00	288.18	115.27	21.00	0.00754	0.00067	0.100	74.00	77.50	0.100	75.00	
77.50	0.100	78.00	298.22	119.29	21.29	0.05861	0.00003	0.100	77.25	77.50	0.100	78.00	
77.50	0.100	81.00	304.19	121.68	21.94	0.03225	0.00039	0.100	80.35	77.50	0.100	81.00	
77.50	0.100	84.00	305.60	122.24	21.36	-0.02223	0.00023	0.099	83.42	77.50	0.100	84.00	
77.50	0.100	86.00	309.06	123.62	23.44	-0.01466	0.00045	0.100	85.56	77.50	0.100	86.00	
77.50	0.100	88.00	311.28	124.51	23.76	-0.02038	0.00057	0.100	87.57	77.50	0.100	88.00	
77.50	0.101	90.00	311.53	124.61	23.86	-0.06601	0.00037	0.100	89.62	77.50	0.100	90.00	
77.50	0.100	92.00	310.80	124.32	23.65	-0.04085	0.00042	0.100	91.73	77.50	0.100	92.00	
77.50	0.100	94.00	308.99	123.60	22.96	-0.07158	0.00058	0.100	93.83	77.50	0.100	94.00	
77.50	0.100	96.00	305.62	122.25	22.15	0.00946	-0.00018	0.101	95.80	77.50	0.100	96.00	
77.50	0.100	99.00	301.78	120.71	22.17	0.01175	0.00017	0.101	98.77	77.50	0.100	99.00	
77.50	0.101	102.00	297.00	118.80	21.94	-0.00528	0.00032	0.102	101.71	77.50	0.100	102.00	
77.50	0.100	105.00	290.51	116.21	20.70	-0.02334	0.00012	0.102	104.55	77.50	0.100	105.00	
77.50	0.099	110.00	282.93	113.17	20.14	0.02932	0.00066	0.102	109.40	77.50	0.100	110.00	
77.50	0.099	115.00	276.20	110.48	19.57	0.02546	0.00001	0.102	114.31	77.50	0.100	115.00	
77.50	0.100	120.00	271.31	108.53	19.34	0.04148	0.00066	0.102	119.27	77.50	0.100	120.00	
