Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	2.000	0.00	44.92	17.97	8.61	0.03499	-0.00563	2.081	-0.47	77.50	2.000	0.00	
77.51	2.000	5.00	45.02	18.01	8.71	0.08112	-0.00299	2.080	4.53	77.50	2.000	5.00	
77.51	2.000	10.00	44.74	17.90	8.61	0.03525	-0.00405	2.079	9.50	77.50	2.000	10.00	
77.50	2.000	15.00	44.69	17.87	8.76	0.05251	-0.00237	2.077	14.46	77.50	2.000	15.00	
77.50	1.999	20.00	44.19	17.68	8.67	0.00078	-0.00369	2.074	19.39	77.50	2.000	20.00	
77.50	2.000	25.00	44.06	17.62	8.71	0.04351	-0.00242	2.070	24.29	77.50	2.000	25.00	
77.50	2.000	30.00	43.91	17.57	8.67	0.05729	-0.00524	2.065	29.19	77.50	2.000	30.00	
77.50	2.000	35.00	44.24	17.69	8.89	0.03859	-0.00233	2.060	34.07	77.50	2.000	35.00	
77.49	2.000	40.00	44.58	17.83	8.99	0.09132	-0.00296	2.054	38.95	77.50	2.000	40.00	
77.50	2.000	45.00	45.09	18.04	9.13	0.06846	-0.00352	2.047	43.85	77.50	2.000	45.00	
77.50	1.999	50.00	45.80	18.32	9.27	0.05954	-0.00334	2.039	48.78	77.50	2.000	50.00	
77.50	2.000	55.00	46.71	18.68	9.43	0.01187	-0.00337	2.031	53.74	77.50	2.000	55.00	
77.50	2.000	60.00	48.03	19.21	9.86	0.05928	-0.00212	2.022	58.74	77.50	2.000	60.00	
77.50	2.000	65.00	49.14	19.66	10.09	0.01809	-0.00374	2.015	63.79	77.50	2.000	65.00	
77.49	1.999	70.00	50.25	20.10	10.62	0.02617	-0.00286	2.009	68.88	77.50	2.000	70.00	
77.50	2.001	75.00	50.97	20.39	11.09	0.03183	0.00013	2.005	74.01	77.50	2.000	75.00	
77.50	2.000	78.00	51.12	20.45	11.34	0.03571	-0.00140	2.004	77.10	77.50	2.000	78.00	
77.50	2.000	81.00	51.10	20.44	11.55	0.06250	-0.00239	2.003	80.20	77.50	2.000	81.00	
77.50	2.000	84.00	51.22	20.49	11.91	0.02255	-0.00173	2.003	83.30	77.50	2.000	84.00	
77.50	2.000	86.00	51.43	20.57	12.02	0.02468	-0.00143	2.003	85.37	77.50	2.000	86.00	
77.50	2.000	88.00	52.97	21.19	12.48	0.04990	-0.00131	2.004	87.44	77.50	2.000	88.00	
77.51	2.000	90.00	55.97	22.39	13.07	0.08693	-0.00440	2.005	89.50	77.50	2.000	90.00	
77.51	2.000	92.00	54.68	21.87	12.86	0.06069	-0.00395	2.006	91.56	77.50	2.000	92.00	
77.51	2.000	94.00	52.07	20.83	11.99	0.07813	-0.00560	2.007	93.60	77.50	2.000	94.00	
77.50	2.000	96.00	51.58	20.63	12.02	0.03663	-0.00283	2.008	95.64	77.50	2.000	96.00	
77.50	1.999	99.00	51.66	20.67	11.75	0.09760	-0.00240	2.010	98.66	77.50	2.000	99.00	
77.50	2.000	102.00	51.67	20.67	11.30	0.04656	-0.00420	2.012	101.66	77.50	2.000	102.00	
77.50	2.000	105.00	51.71	20.69	11.15	-0.00624	-0.00257	2.014	104.65	77.50	2.000	105.00	
77.51	2.000	110.00	51.45	20.58	10.92	0.05591	-0.00229	2.015	109.56	77.50	2.000	110.00	
77.50	2.000	115.00	50.40	20.16	10.37	0.09138	-0.00402	2.013	114.46	77.50	2.000	115.00	
77.50	2.000	120.00	49.21	19.68	9.90	0.07754	-0.00612	2.010	119.34	77.50	2.000	120.00	
77.50	2.000	125.00	48.24	19.30	9.70	0.08036	-0.00451	2.006	124.24	77.50	2.000	125.00	
77.51	2.000	130.00	47.73	19.09	9.46	0.06496	-0.00575	2.001	129.16	77.50	2.000	130.00	
77.50	2.000	135.00	47.00	18.80	9.25	0.09650	-0.00572	1.995	134.13	77.50	2.000	135.00	
77.50	2.000	140.00	46.48	18.59	9.14	0.06566	-0.00434	1.988	139.11	77.50	2.000	140.00	
77.50	2.000	145.00	46.12	18.45	8.99	0.09175	-0.00647	1.983	144.09	77.50	2.000	145.00	
77.50	2.000	150.00	46.00	18.40	8.97	0.10280	-0.00794	1.977	149.07	77.50	2.000	150.00	
77.50	2.000	155.00	46.99	18.79	9.18	0.01679	0.00038	1.973	154.01	77.50	2.000	155.00	
77.50	2.000	160.00	46.94	18.77	8.90	0.06967	-0.00374	1.969	158.96	77.50	2.000	160.00	
77.50	2.000	165.00	47.02	18.81	8.78	0.05557	-0.00434	1.965	163.96	77.50	2.000	165.00	
77.50	2.000	170.00	47.27	18.91	8.81	0.09307	-0.00540	1.962	169.01	77.50	2.000	170.00	
77.50	2.000	175.00	47.56	19.02	8.95	0.03206	-0.00316	1.960	174.15	77.50	2.000	175.00	
77.50	2.000	180.00	47.53	19.01	8.96	0.04303	-0.00239	1.959	179.36	77.50	2.000	180.00	
77.50	2.000	185.00	47.27	18.91	8.93	0.11659	-0.00602	1.959	184.51	77.50	2.000	185.00	
77.50	2.000	190.00	46.84	18.74	8.90	0.05250	-0.00479	1.961	189.68	77.50	2.000	190.00	
