r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.000010	-0.109989	-0.000000	0.000000	0.000000	180.000000	--	0.000000	--
0.000026	-0.109974	-0.000502	0.000510	0.000715	134.564681	--	0.000000	--
0.000015	-0.109949	-0.000000	0.001095	0.001095	90.000000	--	0.000000	--
0.000047	-0.109985	-0.000375	-0.000003	0.000375	-179.500000	--	0.000000	--
0.000031	-0.109928	-0.000680	0.000979	0.001192	124.791487	--	0.000000	--
0.000015	-0.109904	0.000000	0.002611	0.002611	90.000000	--	0.000000	--
0.000067	-0.109972	-0.000528	0.000750	0.000917	125.130218	--	0.000000	--
0.000062	-0.109940	-0.000342	0.000776	0.000848	113.772432	--	0.000000	--
0.000094	-0.109987	-0.000844	-0.000007	0.000844	-179.500000	--	0.000000	--
0.000031	-0.109876	-0.000565	0.001542	0.001642	110.139841	--	0.000000	--
0.000016	-0.109840	-0.000000	0.004011	0.004011	90.000000	--	0.000000	--
0.000085	-0.109914	-0.001176	0.001710	0.002075	124.507727	--	0.000000	--
0.000128	-0.109964	-0.001388	0.000877	0.001642	147.724282	--	0.000000	--
0.000070	-0.109873	-0.000195	0.002613	0.002620	94.260663	--	0.000000	--
0.000125	-0.109922	-0.000792	0.001178	0.001419	123.917911	--	0.000000	--
0.000181	-0.109976	-0.001376	-0.000012	0.001376	-179.500000	--	0.000000	--
0.000047	-0.109793	-0.002020	0.003173	0.003762	122.485841	--	0.000000	--
0.000085	-0.109819	-0.000782	0.002450	0.002572	107.693774	--	0.000000	--
0.000031	-0.109722	-0.000000	0.006649	0.006649	90.000000	--	0.000000	--
0.000171	-0.109875	-0.002313	0.002760	0.003601	129.962332	--	0.000000	--
0.000216	-0.109916	-0.002484	0.001075	0.002706	156.596993	--	0.000000	--
0.000146	-0.109812	-0.000924	0.004064	0.004167	102.810252	--	0.000000	--
0.000327	-0.109938	-0.001565	-0.000014	0.001565	-179.500000	--	0.000000	--
0.000108	-0.109635	-0.003913	0.006791	0.007838	119.950168	--	0.000000	--
0.000185	-0.109700	-0.002220	0.004050	0.004618	118.727986	--	0.000000	--
0.000077	-0.109483	0.000000	0.011638	0.011638	90.000000	--	0.000000	--
0.000416	-0.109831	-0.005592	0.002841	0.006273	153.069187	--	0.000000	--
